Date,Close
1/4/2016,271.37
1/5/2016,273.29
1/6/2016,270.51
1/7/2016,261.6
1/8/2016,258.45
1/11/2016,256.56
1/12/2016,256.68
1/13/2016,246.16
1/14/2016,258.43
1/15/2016,251.76
1/19/2016,248.56
1/20/2016,248.1
1/21/2016,241.4
1/22/2016,247.7
1/25/2016,241.42
1/26/2016,239.37
1/27/2016,251.7
1/28/2016,244.98
1/29/2016,251.52
2/1/2016,251.88
2/2/2016,245.07
2/3/2016,249.09
2/4/2016,251.71
2/5/2016,243.04
2/8/2016,230.98
2/9/2016,230.27
2/10/2016,232.3
2/11/2016,225.77
2/12/2016,227.71
2/16/2016,236.28
2/17/2016,244.67
2/18/2016,238.61
2/19/2016,240.78
2/22/2016,244.86
2/23/2016,238.56
2/24/2016,236.93
2/25/2016,241.65
2/26/2016,243.62
2/29/2016,238.95
3/1/2016,249.53
3/2/2016,252.07
3/3/2016,247.44
3/4/2016,243.12
3/7/2016,248.26
3/8/2016,240.67
3/9/2016,235.49
3/10/2016,232.09
3/11/2016,239.25
3/14/2016,237.43
3/15/2016,230.58
3/16/2016,231.05
3/17/2016,226.88
3/18/2016,230.99
3/21/2016,235.85
3/22/2016,238.95
3/23/2016,235.1
3/24/2016,234.6
3/28/2016,231.9
3/29/2016,234.59
3/30/2016,234.13
3/31/2016,239.78
4/1/2016,239.98
4/4/2016,243.18
4/5/2016,244.66
4/6/2016,257.51
4/7/2016,251.5
4/8/2016,249.46
4/11/2016,244.27
4/12/2016,246.5
4/13/2016,250.29
4/14/2016,249.21
4/15/2016,247.32
4/18/2016,251.39
4/19/2016,249.62
4/20/2016,244.91
4/21/2016,257.54
4/22/2016,260.4
4/25/2016,262.38
4/26/2016,259.47
4/27/2016,257.96
4/28/2016,258.9
4/29/2016,253.29
5/2/2016,252.1
5/3/2016,252.11
5/4/2016,242.36
5/5/2016,243.74
5/6/2016,242.81
5/9/2016,248.85
5/10/2016,251.71
5/11/2016,246.16
5/12/2016,241.98
5/13/2016,241.36
5/16/2016,245.25
5/17/2016,242.73
5/18/2016,243.44
5/19/2016,238.31
5/20/2016,242.86
5/23/2016,243.95
5/24/2016,251.41
5/25/2016,257.63
5/26/2016,259.75
5/27/2016,260.48
5/31/2016,266.87
6/1/2016,264.19
6/2/2016,266.87
6/3/2016,267.33
6/6/2016,266.97
6/7/2016,232.91
6/8/2016,234.12
6/9/2016,230.7
6/10/2016,226.71
6/13/2016,225.07
6/14/2016,222.63
6/15/2016,220.06
6/16/2016,223.08
6/17/2016,219.42
6/20/2016,218.66
6/21/2016,214.62
6/22/2016,216.09
6/23/2016,219.79
6/24/2016,210.95
6/27/2016,206.88
6/28/2016,210.49
6/29/2016,220.06
6/30/2016,222.74
7/1/2016,225.73
7/5/2016,222.93
7/6/2016,227.95
7/7/2016,227.76
7/8/2016,231.47
7/11/2016,232.61
7/12/2016,233.37
7/13/2016,231.37
7/14/2016,232.92
7/15/2016,239.76
7/18/2016,240.87
7/19/2016,239.32
7/20/2016,241.71
7/21/2016,260.17
7/22/2016,265.07
7/25/2016,264.68
7/26/2016,264.39
7/27/2016,265.6
7/28/2016,266.23
7/29/2016,267.05
8/1/2016,278.02
8/2/2016,304.06
8/3/2016,295.99
8/4/2016,289.74
8/5/2016,291.03
8/8/2016,288.9
8/9/2016,289.61
8/10/2016,284.5
8/11/2016,289.68
8/12/2016,289.17
8/15/2016,288.66
8/16/2016,288.69
8/17/2016,289.06
8/18/2016,288.65
8/19/2016,291.81
8/22/2016,291.81
8/23/2016,293.07
8/24/2016,284.92
8/25/2016,282.64
8/26/2016,283.86
8/29/2016,281.98
8/30/2016,283.57
8/31/2016,281.52
9/1/2016,281.88
9/2/2016,288.85
9/6/2016,286.16
9/7/2016,287.66
9/8/2016,283.45
9/9/2016,272.74
9/12/2016,278.78
9/13/2016,273.94
9/14/2016,276.14
9/15/2016,278.93
9/16/2016,280.48
9/19/2016,279.55
9/20/2016,282.82
9/21/2016,287.38
9/22/2016,289.97
9/23/2016,287.92
9/26/2016,285.38
9/27/2016,289.71
9/28/2016,286.05
9/29/2016,281.65
9/30/2016,288.33
10/3/2016,287.01
10/4/2016,286.9
10/5/2016,285.27
10/6/2016,281.85
10/7/2016,281.48
10/10/2016,280.56
10/11/2016,274.76
10/12/2016,268.85
10/13/2016,271.18
10/14/2016,267.58
10/17/2016,268.66
10/18/2016,271.77
10/19/2016,271.85
10/20/2016,276.02
10/21/2016,267.72
10/24/2016,267.84
10/25/2016,263.43
10/26/2016,273.07
10/27/2016,267.94
10/28/2016,261.26
10/31/2016,258.07
11/1/2016,260.27
11/2/2016,255.38
11/3/2016,251.91
11/4/2016,255.15
11/7/2016,272.3
11/8/2016,272.28
11/9/2016,294.62
11/10/2016,298.81
11/11/2016,294
11/14/2016,296.12
11/15/2016,297.13
11/16/2016,292.59
11/17/2016,294.11
11/18/2016,291.99
11/21/2016,293.2
11/22/2016,293.01
11/23/2016,281.79
11/25/2016,281.12
11/28/2016,279.81
11/29/2016,278.88
11/30/2016,270.87
12/1/2016,272.44
12/2/2016,273.74
12/5/2016,267.32
12/6/2016,268.19
12/7/2016,262.79
12/8/2016,266.7
12/9/2016,265.07
12/12/2016,263.89
12/13/2016,264.71
12/14/2016,263.67
12/15/2016,264.33
12/16/2016,263.8
12/19/2016,256.78
12/20/2016,263.06
12/21/2016,260.77
12/22/2016,260.74
12/23/2016,264.84
12/27/2016,268.15
12/28/2016,266.43
12/29/2016,264.38
12/30/2016,261.21
